"MONTH","P_TC","P_PFPR","P_TACT","FREQ_plasmepsin_95","FREQ_plasmepsin_50","FREQ_plasmepsin_05","FREQ_580Y_95","FREQ_580Y_50","FREQ_580Y_05","FREQ_mdr1_95","FREQ_mdr1_50","FREQ_mdr1_05","FREQ_184F_95","FREQ_184F_50","FREQ_184F_05","FREQ_86Y_95","FREQ_86Y_50","FREQ_86Y_05","FREQ_76T_95","FREQ_76T_50","FREQ_76T_05"
106,0.25,0.001,"ASMQ_PPQ",0.21352715,0.01254675,0,0.47326645,0.107142,0.0085573025,0.3602125,0.0224189,0,0.3294664,0.04559065,0,0.97428305,0.592673,0.12257815,0.9871242,0.689177,0.27289195
107,0.25,0.001,"ASMQ_PPQ",0.2238922,0.01344615,0,0.49554035,0.111606,0.008343491,0.3696147,0.02269865,0,0.31150475,0.0421239,0,0.9762994,0.5952585,0.11597026,0.98517315,0.6885525,0.28129565
108,0.25,0.001,"ASMQ_PPQ",0.2057424,0.0147059,0,0.52528915,0.116114,0.005281503,0.40162575,0.02272225,0,0.33324655,0.0395122,0,0.97888185,0.5869165,0.100222705,0.9847753,0.6847825,0.25599405
109,0.25,0.001,"ASMQ_PPQ",0.22892245,0.0150213,0,0.52500045,0.1110185,0.0090606385,0.4013346,0.0224269,0,0.30545455,0.0474688,0,0.96503005,0.603318,0.1173319,0.98101475,0.678071,0.2573454
110,0.25,0.001,"ASMQ_PPQ",0.23908435,0.01421585,0,0.54069445,0.108791,0.009271996,0.3946687,0.02005245,0,0.31455835,0.044499,0,0.97232015,0.609135,0.119581065,0.9823466,0.680063,0.28427235
111,0.25,0.001,"ASMQ_PPQ",0.2406591,0.01649055,0,0.5177387,0.1165215,0.0097303905,0.3765526,0.01754765,0,0.406879,0.04177805,0,0.97655175,0.6016195,0.132734925,0.98679445,0.683772,0.27116945
112,0.25,0.001,"ASMQ_PPQ",0.24637005,0.0179632,0,0.54720265,0.1264635,0.010797818,0.3318571,0.0184034,0,0.37896375,0.04557745,0,0.97377145,0.5909935,0.115617835,0.9887426,0.6870865,0.24626025
113,0.25,0.001,"ASMQ_PPQ",0.2891208,0.01813975,0,0.55665935,0.1204955,0.0091154675,0.3878269,0.02301725,0,0.40379795,0.04574695,0,0.9616234,0.5911395,0.110506405,0.9869253,0.719217,0.24053055
114,0.25,0.001,"ASMQ_PPQ",0.28360055,0.0135978,0,0.52134635,0.1079855,0.004368275,0.40064805,0.02321525,0,0.3808499,0.0435029,0,0.96505315,0.592771,0.10934483,0.98502105,0.714843,0.2272682
115,0.25,0.001,"ASMQ_PPQ",0.28211185,0.0135647,0,0.55909595,0.1054325,0.0058244885,0.38023055,0.02434085,0,0.4142,0.03995475,0,0.96699415,0.6039065,0.108607095,0.98668065,0.701706,0.23204075
116,0.25,0.001,"ASMQ_PPQ",0.3142508,0.0152267,0,0.6576192,0.1122765,0.00882725,0.37649705,0.0231565,0,0.42695645,0.0349705,0,0.9674861,0.6048475,0.09210348,0.9858072,0.7025745,0.2564121
117,0.25,0.001,"ASMQ_PPQ",0.30789525,0.01468895,0,0.5964496,0.118034,0.00675561,0.38701,0.02070015,0,0.4275981,0.03335165,0,0.96785115,0.610324,0.074583335,0.9894082,0.6998305,0.25592215
118,0.25,0.001,"ASMQ_PPQ",0.32002405,0.01582295,0,0.5549767,0.116639,0.008418498,0.3332849,0.02202195,0,0.4554496,0.03546925,0,0.96113505,0.6174635,0.05587712,0.9861024,0.689552,0.2561283
119,0.25,0.001,"ASMQ_PPQ",0.3055119,0.01755655,0,0.55020835,0.1227585,0.009599243,0.3831591,0.0204417,0,0.4278965,0.0331923,0,0.97040365,0.609208,0.070729535,0.9860064,0.7179275,0.2906502
120,0.25,0.001,"ASMQ_PPQ",0.3321139,0.01331235,0,0.6258013,0.113183,0.0039614085,0.39023365,0.01459725,0,0.38529165,0.03229205,0,0.9711977,0.623205,0.04510485,0.9902337,0.7055725,0.2497449
-12,0.25,0.001,"ASMQ_PPQ",0.092273265,0.0164188,0.0014010285,0.18041955,0.0532117,0.0063113875,0.17929185,0.03885445,0.001782037,0.12209575,0.024498,0.00072353425,0.918586,0.5885895,0.3333802,0.9140582,0.676711,0.4094853
-11,0.25,0.001,"ASMQ_PPQ",0.09814351,0.0173573,0.0013445365,0.16961385,0.05410095,0.0065503205,0.1815936,0.0384348,0.001869224,0.12548675,0.0238964,0.00098276745,0.93134285,0.5917275,0.3260741,0.9122014,0.686515,0.42734135
-10,0.25,0.001,"ASMQ_PPQ",0.095993045,0.01872865,0.00104965095,0.15930005,0.0540695,0.0040544,0.18087815,0.0362735,0.0027340725,0.12781035,0.0249424,0.0009753732,0.92265705,0.6015935,0.31828075,0.9056548,0.681414,0.43116175
-9,0.25,0.001,"ASMQ_PPQ",0.09554606,0.0193876,0.0009971465,0.1767857,0.05459025,0.007175836,0.18673655,0.03785565,0.0019724795,0.1215433,0.02461735,0.00091962695,0.915403,0.602415,0.30173855,0.90785405,0.6667245,0.40904635
-8,0.25,0.001,"ASMQ_PPQ",0.086694155,0.0203936,0.0012250935,0.1858782,0.05942215,0.005355719,0.1981001,0.03906095,0.0016495615,0.1162664,0.0249883,0.00097117,0.92010495,0.5969345,0.31204835,0.9077029,0.6718985,0.40255265
-7,0.25,0.001,"ASMQ_PPQ",0.0860264399999999,0.02072525,0.0010814023,0.1976403,0.0578043,0.0038784885,0.19766165,0.03605695,0.0019001565,0.1179707,0.02394115,0.00098728375,0.92999255,0.59418,0.3003767,0.92123445,0.6814945,0.41150015
-6,0.25,0.001,"ASMQ_PPQ",0.097660945,0.02364035,0.00069156095,0.1933641,0.0579962,0.0054609375,0.20085695,0.0357117,0.001913606,0.1146618,0.02628175,0.001404015,0.9330429,0.5876475,0.28861095,0.91030045,0.6829305,0.39652605
-5,0.25,0.001,"ASMQ_PPQ",0.10366405,0.02346885,0.000733303,0.19958525,0.06022295,0.005862636,0.19838605,0.03974355,0.0017937905,0.1096366,0.0270971,0.001584195,0.93270115,0.585895,0.29339635,0.9133003,0.6720855,0.3850559
-4,0.25,0.001,"ASMQ_PPQ",0.10144765,0.02345875,0.0008341768,0.20515135,0.05996725,0.006024763,0.19572285,0.0400269,0.0018931345,0.1201382,0.0291572,0.0014965205,0.9218959,0.58361,0.28414305,0.90990835,0.671671,0.37717705
-3,0.25,0.001,"ASMQ_PPQ",0.09983197,0.0220388,0.00084033765,0.2103615,0.0540049,0.005742618,0.1897,0.0422276,0.0029060685,0.1176994,0.03123285,0.0015212255,0.92305305,0.5823335,0.24965755,0.91251555,0.6663395,0.3799619
-2,0.25,0.001,"ASMQ_PPQ",0.10116835,0.0216001,0.0009993237,0.2112624,0.05286105,0.0048125865,0.19518885,0.0432627,0.002465072,0.1246349,0.02935335,0.0017895365,0.9190896,0.5858235,0.2380491,0.91227885,0.6742445,0.4042059
